城市,区县,街道,地址,被点名次数,纬度,经度
北京市,海淀区,万寿路,北京市海淀区万寿路,3,39.907696,116.29512
北京市,海淀区,马连洼,北京市海淀区马连洼,4,40.032078,116.27776
北京市,海淀区,清河,北京市海淀区清河,4,39.95991,116.29806
北京市,海淀区,永定路,北京市海淀区永定路,4,39.912945,116.26467
北京市,海淀区,上庄,北京市海淀区上庄,5,40.09698,116.215675
北京市,海淀区,四季青,北京市海淀区四季青,6,39.953846,116.27644
北京市,海淀区,西山,北京市海淀区西山,6,39.959286,116.23288
北京市,海淀区,羊坊店,北京市海淀区羊坊店,6,39.904556,116.31909
北京市,海淀区,上地,北京市海淀区上地,7,40.030952,116.319824
北京市,海淀区,北太平庄,北京市海淀区北太平庄,9,39.95355,116.36396
北京市,海淀区,海淀,北京市海淀区海淀,10,39.990406,116.295525
北京市,海淀区,花园路,北京市海淀区花园路,10,39.977524,116.36569
北京市,海淀区,东升,北京市海淀区东升,11,39.9953,116.3344
北京市,海淀区,万寿寺,北京市海淀区万寿寺,14,39.951084,116.312355
北京市,海淀区,大钟寺,北京市海淀区大钟寺,17,39.9641,116.34217
北京市,海淀区,田村,北京市海淀区田村,18,39.93033,116.244995
北京市,海淀区,恩济庄,北京市海淀区恩济庄,20,39.9275,116.28275
北京市,怀柔区,北房,北京市怀柔区北房,1,40.325195,116.694756
北京市,怀柔区,龙山,北京市怀柔区龙山,1,40.313507,116.626465
北京市,密云区,城关,北京市密云区城关,1,40.368732,116.84079
北京市,密云区,西滨河,北京市密云区西滨河,1,40.368732,116.84079
北京市,平谷区,兴谷,北京市平谷区兴谷,1,40.164177,117.118355
北京市,平谷区,渔阳,北京市平谷区渔阳,2,40.144505,117.118
北京市,石景山区,老山,北京市石景山区老山,1,39.91007,116.22624
北京市,石景山区,新谷城,北京市石景山区新谷城,1,39.906612,116.222984
北京市,石景山区,广宁,北京市石景山区广宁,2,39.92596,116.145035
北京市,石景山区,模石口,北京市石景山区模石口,2,39.906612,116.222984
北京市,石景山区,金顶街,北京市石景山区金顶街,3,39.927166,116.16908
北京市,石景山区,八宝山,北京市石景山区八宝山,6,39.906998,116.24176
北京市,石景山区,八角,北京市石景山区八角,6,39.91396,116.203415
北京市,石景山区,新古城,北京市石景山区新古城,9,39.906612,116.222984
北京市,石景山区,苹果园,北京市石景山区苹果园,14,39.90807,116.20131
北京市,石景山区,鲁谷,北京市石景山区鲁谷,16,39.903286,116.237625
北京市,通州区,张家湾,北京市通州区张家湾,1,39.844875,116.712135
北京市,西城区,昌平龙园,北京市西城区昌平龙园,1,39.91229,116.36587
北京市,西城区,德胜门,北京市西城区德胜门,1,39.94982,116.37787
北京市,西城区,地安门,北京市西城区地安门,1,39.93343,116.39629
北京市,西城区,广安门内,北京市西城区广安门内,1,39.889313,116.35737
北京市,西城区,海淀田村,北京市西城区海淀田村,1,39.91229,116.36587
北京市,西城区,密云城关,北京市西城区密云城关,1,39.91229,116.36587
北京市,西城区,密云西宾河,北京市西城区密云西宾河,1,39.91229,116.36587
北京市,西城区,牛街,北京市西城区牛街,1,39.88637,116.36366
北京市,西城区,上地,北京市西城区上地,1,39.91229,116.36587
北京市,西城区,广内,北京市西城区广内,2,39.888905,116.359375
北京市,西城区,陶然亭,北京市西城区陶然亭,2,39.88038,116.38483
北京市,西城区,西直门外大街,北京市西城区西直门外大街,2,39.938744,116.34537
北京市,西城区,新街口,北京市西城区新街口,2,39.940624,116.3727
北京市,西城区,厂桥,北京市西城区厂桥,3,39.93301,116.38013
北京市,西城区,德外,北京市西城区德外,3,39.962746,116.38592
北京市,西城区,阜外,北京市西城区阜外,3,39.923733,116.34773
北京市,西城区,西长安街,北京市西城区西长安街,3,39.907326,116.38488
北京市,西城区,天宁寺,北京市西城区天宁寺,4,39.894356,116.346
北京市,西城区,福绥境,北京市西城区福绥境,5,39.927425,116.3606
北京市,西城区,天桥,北京市西城区天桥,5,39.885284,116.39666
北京市,西城区,白纸坊,北京市西城区白纸坊,6,39.879333,116.359245
北京市,西城区,二龙路,北京市西城区二龙路,6,39.911785,116.366135
北京市,西城区,德胜门外,北京市西城区德胜门外,7,39.953094,116.37947
北京市,西城区,展览路,北京市西城区展览路,10,39.932034,116.34452
北京市,西城区,月坛,北京市西城区月坛,11,39.915623,116.35329
北京市,西城区,广外,北京市西城区广外,13,39.891296,116.33615
北京市,西城区,阜外大街,北京市西城区阜外大街,14,39.92339,116.34581
北京市,西城区,西单大街,北京市西城区西单大街,14,39.914146,116.37316
